Resource,APTGroup,Entry Point,Language,Library
263f094da3f64e72ef8dc3d02be4fb33de1fdb96,APT 30,28202,['CHINESE SIMPLIFIED'],"['MPR.dll', 'SHELL32.dll', 'KERNEL32.dll', 'WSOCK32.dll', 'NETAPI32.dll', 'ADVAPI32.dll', 'ole32.dll', 'SHLWAPI.dll', 'USER32.dll']"
9ddd5e32b1d3b400d4a9ffaa90268a83673f6f11,APT 10,8069,"['ENGLISH US', 'CHINESE SIMPLIFIED']","['ADVAPI32.dll', 'KERNEL32.dll', 'USER32.dll']"
4b74c90c9d9ce7668aa9eb09978c1d8d4dfda24a,APT 28,83645,['ENGLISH US'],"['gdiplus.dll', 'GDI32.dll', 'KERNEL32.dll', 'ADVAPI32.dll', 'ole32.dll', 'SHLWAPI.dll', 'PSAPI.DLL', 'USER32.dll']"
50ddcf957e2d2d397aef0785436e3a23322eef9a,APT 1,14463,['CHINESE SIMPLIFIED'],"['ADVAPI32.dll', 'SHELL32.dll', 'KERNEL32.dll', 'LZ32.dll', 'MSVCRT.dll']"
d5eabcd2d623a4464e5f3b422f972c55ef24e3ff,APT 1,20759,[],"['MSVCP60.dll', 'WININET.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'NETAPI32.dll', 'ADVAPI32.dll', 'WS2_32.dll', 'USER32.dll']"
609680740cfe8f6700a355f843d924a068ec0e64,Dark Hotel,9664,['KOREAN'],"['iphlpapi.dll', 'WININET.dll', 'SHELL32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'ADVAPI32.dll', 'SHLWAPI.dll', 'WS2_32.dll', 'USER32.dll']"
ed61da9bec538309462304a1918c2c84dec5e70e,Equation Group,54299,"['NEUTRAL', 'ENGLISH US']","['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'USER32.dll']"
43fa0d5a30b4cd72bb7e156c00c1611bb4f4bd0a,APT 29,8204,[],[]
ca3960d33bfdda53967d6b6b29efb21a251af1fb,APT 1,12282,['CHINESE SIMPLIFIED'],"['SHELL32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WININET.dll', 'USER32.dll']"
2e836934d65c9c5465ca46e3af6d372baf5ca113,APT 19,258148,['ENGLISH US'],"['ksecdd.sys', 'ntoskrnl.exe']"
0aa3a3e0c80029a80227b86258f3ddde92c93b35,APT 21,7156,[],"['MSVCP60.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'netmgr.dll', 'SHELL32.dll', 'ole32.dll']"
d3632c579a700901e234842b628274cac86714a6,APT 10,63945,"['ENGLISH US', 'CHINESE SIMPLIFIED']","['COMDLG32.dll', 'GDI32.dll', 'KERNEL32.dll', 'WINSPOOL.DRV', 'ADVAPI32.dll', 'SHLWAPI.dll', 'USER32.dll', 'OLEAUT32.dll']"
273bb41a64a484e15216a6e41d29f8c4f18a96e4,Energetic Bear,129578,['ENGLISH US'],"['ADVAPI32.dll', 'KERNEL32.dll', 'ole32.dll', 'CRYPT32.dll', 'WININET.dll']"
d0db619a7a160949528d46d20fc0151bf9775c32,APT 28,113828,['ENGLISH US'],"['gdiplus.dll', 'urlmon.dll', 'WININET.dll', 'GDI32.dll', 'SHELL32.dll', 'KERNEL32.dll', 'OLEAUT32.dll', 'ADVAPI32.dll', 'ole32.dll', 'SHLWAPI.dll', 'WS2_32.dll', 'PSAPI.DLL', 'USER32.dll']"
1cb18260ada85d06338341af6bb7652fdbf08e31,APT 19,6477,['ENGLISH US'],"['urlmon.dll', 'IPHLPAPI.DLL', 'USERENV.dll', 'GDI32.dll', 'ADVAPI32.dll', 'KERNEL32.dll', 'msvcrt.dll', 'CRYPT32.dll', 'SHELL32.dll', 'ntdll.dll', 'ole32.dll', 'SHLWAPI.dll', 'WS2_32.dll', 'PSAPI.DLL', 'USER32.dll', 'OLEAUT32.dll']"
1c90ecf995a70af8f1d15e9c355b075b4800b4de,Energetic Bear,95398,['ENGLISH US'],"['MPR.dll', 'CRYPT32.dll', 'KERNEL32.dll', 'OLEAUT32.dll', 'ADVAPI32.dll', 'ole32.dll']"
1ce049522c4df595a1c4c9e9ca24be72dc5c6b28,APT 29,4157,['RUSSIAN'],"['ADVAPI32.dll', 'KERNEL32.dll']"
a1e31786b2b4df6a05174985900def703105db18,APT 1,14511,['CHINESE SIMPLIFIED'],"['urlmon.dll', 'WININET.dll', 'SHELL32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'Secur32.dll', 'ADVAPI32.dll', 'USER32.dll', 'USERENV.dll']"
f7608ef62a45822e9300d390064e667028b75dea,APT 28,26341,['ENGLISH US'],"['urlmon.dll', 'WININET.dll', 'CRYPT32.dll', 'KERNEL32.dll', 'OLEAUT32.dll', 'ADVAPI32.dll', 'USER32.dll']"
26e3555dd4aa1c27d7eb84da147613516e759629,Gorgon Group,91585,"['ENGLISH UK', 'ENGLISH US']","['MPR.dll', 'COMDLG32.dll', 'COMCTL32.dll', 'VERSION.dll', 'WINMM.dll', 'WININET.dll', 'GDI32.dll', 'ADVAPI32.dll', 'KERNEL32.dll', 'OLEAUT32.dll', 'SHELL32.dll', 'PSAPI.DLL', 'USERENV.dll', 'ole32.dll', 'USER32.dll', 'WSOCK32.dll']"
de393bc32b6d0b847d4bf49c1ed6478ee9029f90,APT 1,12854,"['ENGLISH US', 'CHINESE SIMPLIFIED']","['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'LZ32.dll', 'SHELL32.dll', 'ole32.dll']"
a1e955a4dc2d32db9017c2e12c0de92a8611372d,Gorgon Group,4740,"['NEUTRAL', 'ENGLISH US']",['MSVBVM60.DLL']
114c4134bef6658b097bcfbcee8f7248bbd5d4df,Gorgon Group,,[],[]
3e89edf4cd94eb9ff2b55a2b3e254ca4846eb762,Winnti,1210980,['ENGLISH US'],"['IPHLPAPI.DLL', 'GDI32.dll', 'DNSAPI.dll', 'SHELL32.dll', 'KERNEL32.dll', 'Secur32.dll', 'WTSAPI32.dll', 'VERSION.dll', 'ADVAPI32.dll', 'ole32.dll', 'SHLWAPI.dll', 'WS2_32.dll', 'PSAPI.DLL', 'USER32.dll', 'USERENV.dll']"
bf5d256d87847aec61a611bc631d10831c24676b,Gorgon Group,,[],[]
dec3587b901846ae8ab4858f3a372b91a0701b71,Energetic Bear,133082,['ENGLISH US'],"['WININET.dll', 'CRYPT32.dll', 'KERNEL32.dll', 'ADVAPI32.dll', 'ole32.dll', 'USER32.dll']"
8b987a014507cec07da4b1fe36d0d25aa458ba21,APT 1,7743,[],"['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WININET.dll', 'urlmon.dll']"
276bac38da7b557ba7c4ec3757dbd327646b2058,Equation Group,54299,"['NEUTRAL', 'ENGLISH US']","['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'USER32.dll']"
cc3df7de75db8be4a0a30ede21f226122d2dfe87,APT 29,8204,[],[]
d783920f5bcdb9b87cb56719d24ee3f4a2655f4b,Gorgon Group,,[],[]
6ff39276917d8cb7876b39bcdb58fcc0df94643d,APT 1,4991,['ENGLISH US'],"['SHELL32.dll', 'KERNEL32.dll']"
91e9d6346e308e3a5efc0bcf9866858fc604f66b,APT 28,,[],[]
1ef415bca310575944934fc97b0aa720943ba512,APT 30,32207,['ENGLISH US'],"['MPR.dll', 'SHELL32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WSOCK32.dll', 'NETAPI32.dll', 'ADVAPI32.dll', 'ole32.dll', 'SHLWAPI.dll']"
6b51d208440ab8f5be720a26fd107aeeaeb74f1c,Winnti,13897,[],"['KERNEL32.dll', 'MSVCRT.dll', 'ADVAPI32.dll', 'MFC42.DLL', 'ole32.dll', 'USER32.dll']"
487a07dbf67505eec0d3d056c0f5aa151cde8148,Equation Group,54299,"['NEUTRAL', 'ENGLISH US']","['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'USER32.dll']"
7f249736efc0c31c44e96fb72c1efcc028857ac7,Energetic Bear,12555,"['GERMAN', 'ENGLISH US']","['VERSION.dll', 'GDI32.dll', 'ADVAPI32.dll', 'KERNEL32.dll', 'SHELL32.dll', 'ole32.dll', 'USER32.dll', 'COMCTL32.dll']"
7583142406a9416ff28fcef74e61e80941327a28,Gorgon Group,,[],[]
ffab0d227b67c60de19af0f3b3b05c7e6fa7eedc,APT 21,7140,[],"['MSVCP60.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'netmgr.dll', 'SHELL32.dll', 'ole32.dll']"
d1c2d599ad796197d808835a692c6d369fcc3429,APT 1,12138,['CHINESE SIMPLIFIED'],"['SHELL32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WININET.dll', 'USER32.dll']"
446cedd9114e0a9e4881f350291b026629e7fef2,Winnti,9181,[],"['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'USER32.dll']"
455fdd79af7cde5c4d1e6542e9378088f124a085,Gorgon Group,5872,"['NEUTRAL', 'ENGLISH US']",['MSVBVM60.DLL']
3fbfc027d4bb6f8f717e510e11e50379e53e8f71,APT 1,17705,['ENGLISH US'],"['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WININET.dll']"
321ee05a261754aeaea7525d52db9b1617b14064,Winnti,9233,[],"['KERNEL32.dll', 'MSVCRT.dll', 'USER32.dll']"
0834de81da056557bf82b076b122913a0c190671,Winnti,10136,['ENGLISH US'],['KERNEL32.dll']
948f6a285d905ed767a6692a543b81cba3e38828,APT 1,10940,['ENGLISH US'],"['urlmon.dll', 'WININET.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'Secur32.dll', 'ADVAPI32.dll']"
217c4fc21b58d5868156bb4ac69ccfca22224427,Gorgon Group,29902,['NEUTRAL'],['mscoree.dll']
10b31a17449705be20890ddd8ad97a2feb093674,APT 29,16488,[],"['SHELL32.dll', 'KERNEL32.dll', 'imagehlp.dll']"
0a3e6607d5e9c59c712106c355962b11da2902fc,APT 28,6164,[],['KERNEL32.dll']
aa0be8faad903da72a0647009b18541e5b02e837,Equation Group,54299,"['NEUTRAL', 'ENGLISH US']","['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'USER32.dll']"
1df29c63c917b089fe0fc099e2783c0c679892e5,APT 10,8790,['ENGLISH US'],"['ADVAPI32.dll', 'KERNEL32.dll', 'USER32.dll']"
784c550d3da319b20932b544d4c67368719d5991,Gorgon Group,,[],[]
4e3c9d7eb8302739e6931a3b5b605efe8f211e51,APT 29,35307,"['NEUTRAL', 'ENGLISH US']","['KERNEL32.dll', 'USER32.dll']"
0cf68d706c38ab112e0b667498c24626aec730f6,APT 29,86664,[],['Kernel32.dll']
fd38b9751969c5562ace10c57611e89c07296da0,Energetic Bear,133082,['ENGLISH US'],"['WININET.dll', 'CRYPT32.dll', 'KERNEL32.dll', 'ADVAPI32.dll', 'ole32.dll', 'USER32.dll']"
86dde8af2ae19d10f1993a3ffa48d12e4d5e8fc0,Winnti,8032,['CHINESE SIMPLIFIED'],"['SHELL32.dll', 'KERNEL32.dll', 'USER32.dll']"
d6bb45c5fe27ecb84da12819fc4ee798200df442,Winnti,1516446,['ENGLISH US'],"['VERSION.dll', 'GDI32.dll', 'DNSAPI.dll', 'ADVAPI32.dll', 'KERNEL32.dll', 'Secur32.dll', 'WTSAPI32.dll', 'NETAPI32.dll', 'SHELL32.dll', 'ole32.dll', 'SHLWAPI.dll', 'WS2_32.dll', 'PSAPI.DLL', 'USER32.dll', 'USERENV.dll']"
b9598b2e61918e17855599e03ee2608669e3938b,Equation Group,54299,"['NEUTRAL', 'ENGLISH US']","['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'USER32.dll']"
82add74d91e26a2a8e0ccc20f4081c903c0b5137,Winnti,210814,"['NEUTRAL', 'ENGLISH US', 'CHINESE SIMPLIFIED']","['imagehlp.dll', 'VERSION.dll', 'ADVAPI32.dll', 'KERNEL32.dll', 'SHELL32.dll', 'USER32.dll']"
7abf3bb66e8f3cfac77ef632318d158bc794f1e8,Gorgon Group,,[],[]
3c0ff434e27768ac2e0a3761efb2dd6413996d6c,Energetic Bear,163874,['ENGLISH US'],"['WININET.dll', 'CRYPT32.dll', 'SHELL32.dll', 'KERNEL32.dll', 'ADVAPI32.dll', 'ole32.dll', 'WS2_32.dll', 'USER32.dll']"
9c6f470e2f326a055065b2501077c89f748db763,APT 30,32207,['ENGLISH US'],"['MPR.dll', 'SHELL32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WSOCK32.dll', 'NETAPI32.dll', 'ADVAPI32.dll', 'ole32.dll', 'SHLWAPI.dll']"
358fac900834a7f590249fe62d1b5cb4923a70b0,Gorgon Group,91585,"['ENGLISH UK', 'ENGLISH US']","['MPR.dll', 'COMDLG32.dll', 'VERSION.dll', 'WINMM.dll', 'WININET.dll', 'GDI32.dll', 'SHELL32.dll', 'KERNEL32.dll', 'OLEAUT32.dll', 'ADVAPI32.dll', 'WSOCK32.dll', 'PSAPI.DLL', 'USERENV.dll', 'ole32.dll', 'USER32.dll', 'COMCTL32.dll']"
5d49c7d83842a691b9ca92f9f4d92806e941f2b8,Gorgon Group,,[],[]
c64ac1fed412c4abaf7b65342441db01a53d497e,APT 21,,[],[]
e4d53e78243c8331209ee29bcc14fc06ddf86b35,APT 1,24146,['ENGLISH US'],"['WS2_32.dll', 'WININET.dll', 'KERNEL32.dll', 'NETAPI32.dll', 'ADVAPI32.dll', 'ole32.dll', 'MSVCR80.dll', 'USER32.dll']"
a00f2040d1b5cee9a571d0f3ac811bc2c86e03a6,Equation Group,54299,"['NEUTRAL', 'ENGLISH US']","['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'USER32.dll']"
284985a3d1d632925f81032ae6d3feb335fadf98,Equation Group,54299,"['NEUTRAL', 'ENGLISH US']","['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'USER32.dll']"
f57c70214862c7ac7444d4abbca7532106015762,Gorgon Group,,[],[]
e794b6f19f7ff346335e76ecf5a4a2a6c59a6c2f,Winnti,10136,['ENGLISH US'],['KERNEL32.dll']
1305948cd5247793ab79d28c0be08fcc1b3978e1,Dark Hotel,46261,"['NEUTRAL DEFAULT', 'ENGLISH US']","['COMDLG32.dll', 'GDI32.dll', 'ADVAPI32.dll', 'KERNEL32.dll', 'OLEAUT32.dll', 'SHELL32.dll', 'ole32.dll', 'SHLWAPI.dll', 'USER32.dll', 'COMCTL32.dll']"
4c70fd102e5771af1ccb33f44656fcad342b167c,APT 1,16651,[],"['ADVAPI32.dll', 'KERNEL32.dll', 'SHLWAPI.dll', 'user32.dll', 'MSVCRT.dll']"
96bac2b55976f46df38232f599a489ef203882ce,Equation Group,54299,"['NEUTRAL', 'ENGLISH US']","['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'USER32.dll']"
51b0e3cd6360d50424bf776b3cd673dd45fd0f97,APT 28,19714,[],"['ADVAPI32.dll', 'SHELL32.dll', 'KERNEL32.dll']"
83e54cb97644de7084126e702937f8c3a2486a2f,APT 28,45156,[],"['FLTMGR.SYS', 'ntoskrnl.exe']"
8ccbffa1f3a7f7b55a43d63295373b9dafdc7924,Gorgon Group,,[],[]
036ef059e1a5f4703da5d313d344556d10ee897d,Equation Group,54299,"['NEUTRAL', 'ENGLISH US']","['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'USER32.dll']"
9d99ee1d6c4713a0d88607f9e2d94afd6aa763a9,Gorgon Group,77454,['NEUTRAL'],['mscoree.dll']
52ca344103d768fcd86eae70df4814640ed69134,Equation Group,54299,"['NEUTRAL', 'ENGLISH US']","['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'USER32.dll']"
914e79a3a36c48eb74f68615c08054d37a869337,Equation Group,54299,"['NEUTRAL', 'ENGLISH US']","['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'USER32.dll']"
cec24e1bec075432c2ef96e9f03927ecef759bde,APT 10,1089864,"['ENGLISH US', 'CHINESE SIMPLIFIED']","['USER32.dll', 'COMDLG32.dll', 'ODBC32.dll', 'oledlg.dll', 'WINSPOOL.DRV', 'GDI32.dll', 'MSIMG32.dll', 'ADVAPI32.dll', 'KERNEL32.dll', 'gdiplus.dll', 'OLEAUT32.dll', 'SHELL32.dll', 'WINMM.dll', 'ole32.dll', 'SHLWAPI.dll', 'OLEACC.dll', 'COMCTL32.dll', 'IMM32.dll']"
58ee6460e4e685e5ec9f85d0e48a0b93ff14ce7a,Gorgon Group,4672,"['NEUTRAL', 'ENGLISH US']",['MSVBVM60.DLL']
eb8c4efae032fe0bd1c8394e99859b165168f105,Energetic Bear,156626,['ENGLISH US'],"['WININET.dll', 'CRYPT32.dll', 'ADVAPI32.dll', 'KERNEL32.dll', 'SHELL32.dll', 'ole32.dll', 'WS2_32.dll', 'USER32.dll']"
a1fc97ff9c56c4ddf04721fc6956fea875bbd512,Equation Group,54299,"['NEUTRAL', 'ENGLISH US']","['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'USER32.dll']"
f6ca9983dc12d0062d335d7f2b9e8ef34b6c4aca,Winnti,189461,"['ENGLISH US', 'CHINESE SIMPLIFIED']","['imagehlp.dll', 'VERSION.dll', 'ADVAPI32.dll', 'KERNEL32.dll', 'SHELL32.dll', 'SHLWAPI.dll', 'USER32.dll']"
807c3db7385972a78b6d217a379dab67e68a3cf5,APT 29,115336,[],['Kernel32.dll']
f3f306d9dfe8193b9e9d91ca27893c3a9866a7f9,APT 1,6438,[],"['KERNEL32.dll', 'MSVCRT.dll']"
e8d06bd24e600f95b67786db6ff37da1c8995854,APT 19,66274,['ENGLISH US'],"['GDI32.dll', 'ADVAPI32.dll', 'KERNEL32.dll', 'WINSPOOL.DRV', 'SHELL32.dll', 'SHLWAPI.dll', 'USER32.dll', 'OLEAUT32.dll']"
01d3973e1bb46e2b75034736991c567862a11263,APT 29,58435,"['NEUTRAL', 'ENGLISH US']","['KERNEL32.dll', 'OLEAUT32.dll', 'ADVAPI32.dll', 'ole32.dll', 'SHLWAPI.dll', 'USER32.dll']"
ee64d20ef5a2c36e78beb730d1cf17d080cf6936,Energetic Bear,133082,['ENGLISH US'],"['WININET.dll', 'CRYPT32.dll', 'KERNEL32.dll', 'ADVAPI32.dll', 'ole32.dll', 'USER32.dll']"
7ad1bef0ba61dbed98d76d4207676d08c893fc13,APT 29,32508,"['NEUTRAL', 'ENGLISH US']","['KERNEL32.dll', 'USER32.dll']"
dd81648c296423439916d5842695723d0bac8a49,APT 21,,[],[]
68882b2b788afa26dcc5178bbf3f81e5021ce8ed,APT 1,13308,[],"['WININET.dll', 'SHELL32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'ADVAPI32.dll', 'WS2_32.dll', 'USER32.dll']"
bf12cf6b3b1f7cb51ed9b5f6132df45e6d6a775e,Gorgon Group,43950,['NEUTRAL'],['mscoree.dll']
4ebcbe024bc110710681f35bc6616e8ff25fd465,Winnti,16106,[],"['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'ole32.dll', 'USER32.dll']"
bba149dc13aee468a83b0376c61686a8df43729c,Dark Hotel,13164,[],"['iphlpapi.dll', 'WININET.dll', 'SHELL32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'ADVAPI32.dll', 'PSAPI.DLL', 'SHLWAPI.dll', 'WS2_32.dll', 'USER32.dll']"
e831e53816fa5f2a109816fc90efeec5f19e5b80,Equation Group,54299,"['NEUTRAL', 'ENGLISH US']","['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'USER32.dll']"
be20358792f69fd73ea45a0d234ce07ecc927d9e,APT 10,,[],[]
bc843f4898f95650d6e9708539e226ba09c55745,APT 1,77112,[],"['KERNEL32.dll', 'WS2_32.dll', 'WININET.dll']"
04477903f70790c9acf10f78a11a3c889cb0b717,Equation Group,54299,"['NEUTRAL', 'ENGLISH US']","['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'USER32.dll']"
593d0eb95227e41d299659842395e76b55aa048d,APT 28,57556,"['NEUTRAL', 'ENGLISH US']","['shell32.dll', 'kernel32.dll', 'oleaut32.dll', 'user32.dll', 'wininet.dll']"
4d053b26ad52a8248c80ddde63d4577f27a12dd1,APT 1,13761,[],"['MSVCP60.dll', 'CRYPT32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'ADVAPI32.dll', 'WS2_32.dll']"
6da282da7b2151eeb7da06b0ce8e1beb64e585a1,Gorgon Group,14501,['ENGLISH US'],"['KERNEL32.dll', 'OLEAUT32.dll', 'SHELL32.dll', 'ole32.dll', 'PSAPI.DLL', 'USER32.dll']"
455225be1792320dd9fbbaf55916077558a0fd06,Winnti,7202,['CHINESE SIMPLIFIED'],"['ADVAPI32.dll', 'SHELL32.dll', 'KERNEL32.dll', 'MSVCRT.dll']"
776201181c5b1e72e45d3b5b25eb3f49a2589586,Equation Group,54299,"['NEUTRAL', 'ENGLISH US']","['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'USER32.dll']"
c71a95b7313c35ea1ed404835cbe0e83a3726af0,Gorgon Group,4636,"['CHINESE TRADITIONAL', 'NEUTRAL']",['MSVBVM60.DLL']
218f8f8420fa7cd7ee384dbae6e9089c6abfc191,Gorgon Group,,[],[]
476749c900bb43c62f50cb2f448901a589d56aac,Winnti,2041305,['ENGLISH US'],"['VERSION.dll', 'GDI32.dll', 'DNSAPI.dll', 'ADVAPI32.dll', 'KERNEL32.dll', 'Secur32.dll', 'WTSAPI32.dll', 'NETAPI32.dll', 'SHELL32.dll', 'ole32.dll', 'SHLWAPI.dll', 'WS2_32.dll', 'PSAPI.DLL', 'USER32.dll', 'USERENV.dll']"
67d9f547a35db593d8a2b183357d1321977042d0,Gorgon Group,,[],[]
6c8a43048c214a2decb4ac4d4417c7444db80da1,Winnti,10152,['ENGLISH US'],['KERNEL32.dll']
92a1d5ebe85183286e2708d73a8f87d4ba6b3d43,APT 1,10678,[],"['urlmon.dll', 'WININET.dll', 'SHELL32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'ADVAPI32.dll']"
4b42e74e0604922b2697820d13147c00b7e659f9,Equation Group,54299,"['NEUTRAL', 'ENGLISH US']","['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'USER32.dll']"
1368af1819e7ecaf9186072affa5176a9b07500f,Dark Hotel,9186,"['NEUTRAL', 'ENGLISH US']","['SHELL32.dll', 'KERNEL32.dll', 'USER32.dll']"
4400db06bf7e5e24d175e9e2b669849a546397ee,Winnti,16601,[],"['GDI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WINSPOOL.DRV', 'ADVAPI32.dll', 'ole32.dll', 'USER32.dll', 'COMCTL32.dll']"
785e58d6f3cab8ee1f099a2472f4a5c0b758b197,Winnti,7234,['CHINESE SIMPLIFIED'],"['ADVAPI32.dll', 'SHELL32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'USER32.dll']"
a75995f94854dea8799650a2f4a97980b71199d2,APT 29,12542,['ENGLISH US'],"['SHELL32.dll', 'KERNEL32.dll', 'USER32.dll']"
fb93a0c605b91ff1b13e5ef7686ad640bf12b17c,Gorgon Group,,[],[]
d41231ce4fefb63697c9e6e551c9bed3c506dcd8,Equation Group,54299,"['NEUTRAL', 'ENGLISH US']","['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'USER32.dll']"
7994c126ece4d430c6b9eba2e81304c26492e6a9,APT 19,65257,['ENGLISH US'],"['GDI32.dll', 'ADVAPI32.dll', 'KERNEL32.dll', 'WINSPOOL.DRV', 'SHELL32.dll', 'SHLWAPI.dll', 'USER32.dll', 'OLEAUT32.dll']"
0f7893e2647a7204dbf4b72e50678545573c3a10,APT 28,,[],[]
50f834266362592f2108a3db3c72c015ae702bcc,Equation Group,54299,"['NEUTRAL', 'ENGLISH US']","['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'USER32.dll']"
2c7e5c7ea5cab4bca50f8a4602bf8cbf11106a76,Winnti,583060,['ENGLISH US'],"['imagehlp.dll', 'WINMM.dll', 'WININET.dll', 'GDI32.dll', 'DNSAPI.dll', 'SHELL32.dll', 'KERNEL32.dll', 'WTSAPI32.dll', 'ADVAPI32.dll', 'PSAPI.DLL', 'SHLWAPI.dll', 'WS2_32.dll', 'ole32.dll', 'USER32.dll', 'USERENV.dll']"
bf272e1e09269ea495a1cfe9dcf84092089fceb1,Gorgon Group,74879,"['NEUTRAL', 'ENGLISH US']","['MSVCP60.dll', 'gdiplus.dll', 'urlmon.dll', 'WINMM.dll', 'WININET.dll', 'GDI32.dll', 'SHELL32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'ADVAPI32.dll', 'SHLWAPI.dll', 'WS2_32.dll', 'USER32.dll']"
4e3344ed915aa9f50086f3a07f5e0ae3581dbb77,Gorgon Group,,[],[]
ab7fa0ff1b8b00ea632ee3575c6ba8e37c548c41,Equation Group,54299,"['NEUTRAL', 'ENGLISH US']","['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'USER32.dll']"
